Tiempo,ID,Posicion,Velocidad,Aceleracion,EstadoVehiculo,Semaforo
0.05,1,0.01,0.12,2.50,ACELERANDO,VERDE
0.10,1,0.02,0.25,2.50,ACELERANDO,VERDE
0.15,1,0.04,0.38,2.50,ACELERANDO,VERDE
0.20,1,0.06,0.50,2.50,ACELERANDO,VERDE
0.25,1,0.09,0.62,2.50,ACELERANDO,VERDE
0.30,1,0.13,0.75,2.50,ACELERANDO,VERDE
0.35,1,0.18,0.88,2.50,ACELERANDO,VERDE
0.40,1,0.23,1.00,2.50,ACELERANDO,VERDE
0.45,1,0.28,1.12,2.50,ACELERANDO,VERDE
0.50,1,0.34,1.25,2.50,ACELERANDO,VERDE
0.55,1,0.41,1.38,2.50,ACELERANDO,VERDE
0.60,1,0.49,1.50,2.50,ACELERANDO,VERDE
0.65,1,0.57,1.62,2.50,ACELERANDO,VERDE
0.70,1,0.66,1.75,2.50,ACELERANDO,VERDE
0.75,1,0.75,1.88,2.50,ACELERANDO,VERDE
0.80,1,0.85,2.00,2.50,ACELERANDO,VERDE
0.85,1,0.96,2.12,2.50,ACELERANDO,VERDE
0.90,1,1.07,2.25,2.50,ACELERANDO,VERDE
0.95,1,1.19,2.38,2.50,ACELERANDO,VERDE
1.00,1,1.31,2.50,2.50,ACELERANDO,VERDE
1.05,1,1.44,2.62,2.50,ACELERANDO,VERDE
1.10,1,1.58,2.75,2.50,ACELERANDO,VERDE
1.15,1,1.73,2.88,2.50,ACELERANDO,VERDE
1.20,1,1.88,3.00,2.50,ACELERANDO,VERDE
1.25,1,2.03,3.12,2.50,ACELERANDO,VERDE
1.30,1,2.19,3.25,2.50,ACELERANDO,VERDE
1.35,1,2.36,3.38,2.50,ACELERANDO,VERDE
1.40,1,2.54,3.50,2.50,ACELERANDO,VERDE
1.45,1,2.72,3.62,2.50,ACELERANDO,VERDE
1.50,1,2.91,3.75,2.50,ACELERANDO,VERDE
1.55,1,3.10,3.88,2.50,ACELERANDO,VERDE
1.60,1,3.30,4.00,2.50,ACELERANDO,VERDE
1.65,1,3.51,4.12,2.50,ACELERANDO,VERDE
1.70,1,3.72,4.25,2.50,ACELERANDO,VERDE
1.75,1,3.94,4.38,2.50,ACELERANDO,VERDE
1.80,1,4.16,4.50,2.50,ACELERANDO,VERDE
1.85,1,4.39,4.62,2.50,ACELERANDO,VERDE
1.90,1,4.63,4.75,2.50,ACELERANDO,VERDE
1.95,1,4.88,4.88,2.50,ACELERANDO,VERDE
2.00,1,5.12,5.00,2.50,ACELERANDO,VERDE
2.05,1,5.38,5.12,2.50,ACELERANDO,VERDE
2.10,1,5.64,5.25,2.50,ACELERANDO,VERDE
2.15,1,5.91,5.38,2.50,ACELERANDO,VERDE
2.20,1,6.19,5.50,2.50,ACELERANDO,VERDE
2.25,1,6.47,5.62,2.50,ACELERANDO,VERDE
2.30,1,6.76,5.75,2.50,ACELERANDO,VERDE
2.35,1,7.05,5.88,2.50,ACELERANDO,VERDE
2.40,1,7.35,6.00,2.50,ACELERANDO,VERDE
2.45,1,7.66,6.12,2.50,ACELERANDO,VERDE
2.50,1,7.97,6.25,2.50,ACELERANDO,VERDE
2.55,1,8.29,6.38,2.50,ACELERANDO,VERDE
2.60,1,8.61,6.50,2.50,ACELERANDO,VERDE
2.65,1,8.94,6.62,2.50,ACELERANDO,VERDE
2.70,1,9.28,6.75,2.50,ACELERANDO,VERDE
2.75,1,9.62,6.88,2.50,ACELERANDO,VERDE
2.80,1,9.97,7.00,2.50,ACELERANDO,VERDE
2.85,1,10.33,7.12,2.50,ACELERANDO,VERDE
2.90,1,10.69,7.25,2.50,ACELERANDO,VERDE
2.95,1,11.06,7.38,2.50,ACELERANDO,VERDE
3.00,1,11.44,7.50,2.50,ACELERANDO,VERDE
3.05,1,11.82,7.62,2.50,ACELERANDO,VERDE
3.05,2,0.01,0.12,2.50,ACELERANDO,VERDE
3.10,1,12.21,7.75,2.50,ACELERANDO,VERDE
3.10,2,0.02,0.25,2.50,ACELERANDO,VERDE
3.15,1,12.60,7.88,2.50,ACELERANDO,VERDE
3.15,2,0.04,0.38,2.50,ACELERANDO,VERDE
3.20,1,13.00,8.00,2.50,ACELERANDO,VERDE
3.20,2,0.06,0.50,2.50,ACELERANDO,VERDE
3.25,1,13.41,8.12,2.50,ACELERANDO,VERDE
3.25,2,0.09,0.62,2.50,ACELERANDO,VERDE
3.30,1,13.82,8.25,2.50,ACELERANDO,VERDE
3.30,2,0.13,0.75,2.50,ACELERANDO,VERDE
3.35,1,14.24,8.38,2.50,ACELERANDO,VERDE
3.35,2,0.18,0.88,2.50,ACELERANDO,VERDE
3.40,1,14.66,8.50,2.50,ACELERANDO,VERDE
3.40,2,0.23,1.00,2.50,ACELERANDO,VERDE
3.45,1,15.09,8.62,2.50,ACELERANDO,VERDE
3.45,2,0.28,1.12,2.50,ACELERANDO,VERDE
3.50,1,15.53,8.75,2.50,ACELERANDO,VERDE
3.50,2,0.34,1.25,2.50,ACELERANDO,VERDE
3.55,1,15.97,8.88,2.50,ACELERANDO,VERDE
3.55,2,0.41,1.38,2.50,ACELERANDO,VERDE
3.60,1,16.43,9.00,2.50,ACELERANDO,VERDE
3.60,2,0.49,1.50,2.50,ACELERANDO,VERDE
3.65,1,16.88,9.12,2.50,ACELERANDO,VERDE
3.65,2,0.57,1.62,2.50,ACELERANDO,VERDE
3.70,1,17.34,9.25,2.50,ACELERANDO,VERDE
3.70,2,0.66,1.75,2.50,ACELERANDO,VERDE
3.75,1,17.81,9.38,2.50,ACELERANDO,VERDE
3.75,2,0.75,1.88,2.50,ACELERANDO,VERDE
3.80,1,18.29,9.50,2.50,ACELERANDO,VERDE
3.80,2,0.85,2.00,2.50,ACELERANDO,VERDE
3.85,1,18.77,9.62,2.50,ACELERANDO,VERDE
3.85,2,0.96,2.12,2.50,ACELERANDO,VERDE
3.90,1,19.26,9.75,2.50,ACELERANDO,VERDE
3.90,2,1.07,2.25,2.50,ACELERANDO,VERDE
3.95,1,19.75,9.88,2.50,ACELERANDO,VERDE
3.95,2,1.19,2.38,2.50,ACELERANDO,VERDE
4.00,1,20.24,9.88,0.00,VEL_CONST,VERDE
4.00,2,1.31,2.50,2.50,ACELERANDO,VERDE
4.05,1,20.74,9.88,0.00,VEL_CONST,VERDE
4.05,2,1.44,2.62,2.50,ACELERANDO,VERDE
