ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,393.90
VehiculosCreados,50
VehiculosCompletados,50
CiclosSemaforo,8
TiempoPromedio,44.27
VelocidadPromedio,4.74
TiempoDetenidoPromedio,19.23
Eficiencia,47.4
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
1,0.00,17.20,22.25,0.00,8.99
2,3.00,24.60,29.65,0.00,7.50
3,6.00,45.30,51.25,23.20,4.42
4,9.00,48.50,57.25,18.05,4.15
5,13.00,55.70,63.50,22.60,3.96
6,21.00,63.30,68.80,29.90,4.18
7,25.00,89.35,95.25,57.50,2.85
8,47.00,93.20,98.35,34.10,3.89
9,51.00,99.05,104.30,31.80,3.75
10,58.00,102.75,107.75,29.40,4.02
11,65.00,108.90,114.85,22.05,4.01
12,68.00,113.95,122.75,23.00,3.65
13,72.00,134.40,139.75,57.10,2.95
14,91.00,137.95,142.95,22.80,3.85
15,98.00,141.65,146.65,19.00,4.11
16,101.00,147.75,152.80,19.60,3.86
17,104.00,152.00,157.00,16.10,3.77
18,111.00,155.50,160.50,25.70,4.04
19,115.00,159.35,168.65,29.00,3.73
20,135.00,163.85,172.70,2.70,5.31
21,142.00,176.90,183.10,13.10,4.87
22,145.00,186.60,191.60,24.70,4.29
23,148.00,192.45,197.50,18.10,4.04
24,153.00,195.80,200.85,28.30,4.18
25,160.00,199.05,204.10,27.00,4.54
26,180.00,204.55,213.85,0.40,5.91
27,183.00,211.05,220.15,0.90,5.38
28,190.00,230.75,235.80,25.00,4.37
29,196.00,235.50,240.55,21.80,4.49
30,202.00,240.95,245.95,29.20,4.55
31,222.00,247.65,256.95,0.00,5.72
32,225.00,252.85,261.80,0.00,5.43
33,229.00,265.25,271.20,9.20,4.74
34,237.00,276.00,281.00,23.40,4.55
35,242.00,282.60,287.60,24.10,4.39
36,248.00,286.70,291.70,23.20,4.58
37,252.00,291.40,300.70,24.90,4.11
38,270.00,296.45,305.45,1.00,5.64
39,276.00,310.10,315.55,14.80,5.06
40,285.00,313.40,321.55,7.05,5.47
41,288.00,323.10,328.10,22.90,4.99
42,292.00,328.80,333.80,30.10,4.78
43,311.00,332.05,337.05,0.00,7.68
44,318.00,335.35,344.65,0.00,7.50
45,321.00,353.30,359.20,17.30,5.24
46,324.00,356.50,365.30,9.35,4.84
47,327.00,366.80,371.80,28.30,4.46
48,332.00,372.00,377.05,27.90,4.44
49,339.00,379.20,388.50,25.90,4.04
50,360.00,384.90,393.90,0.00,5.90
