, Maximo de coches calle maxima semaforo a la mitad    max_autos = 5000  longitud_total = 2000  posicion_semaforo = 1000.

ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36720.85
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,834
TiempoPromedio,245.27
VelocidadPromedio,8.29
TiempoDetenidoPromedio,32.85
Eficiencia,82.9
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
1,0.00,103.30,204.50,0.00,9.78
2,3.00,110.70,211.90,0.00,9.57
3,6.00,117.80,223.30,0.00,9.20
4,9.00,122.25,227.10,0.00,9.17
5,13.00,140.15,241.35,22.60,8.76
6,21.00,145.45,246.65,29.90,8.86
7,25.00,152.40,253.60,29.60,8.75
8,47.00,157.60,263.20,0.50,9.25
9,51.00,161.75,267.00,0.00,9.26
10,58.00,167.00,271.30,0.00,9.38
11,65.00,177.60,279.50,5.10,9.32
12,68.00,189.25,290.45,23.00,8.99
13,72.00,195.00,296.20,30.20,8.92
14,91.00,198.45,299.65,0.00,9.59
15,98.00,205.80,311.25,0.00,9.38
16,101.00,211.25,316.55,0.00,9.28
17,104.00,221.95,323.65,7.50,9.11
18,111.00,233.40,334.60,25.70,8.94
19,115.00,237.55,338.75,29.00,8.94
20,135.00,242.20,343.40,2.70,9.60
21,142.00,245.30,350.90,0.00,9.57
22,145.00,265.30,367.40,23.30,8.99
23,148.00,268.50,373.50,15.35,8.87
24,151.00,276.90,378.10,28.30,8.81
25,156.00,282.10,383.30,27.90,8.80
26,163.00,289.15,394.80,25.90,8.63
27,184.00,309.25,411.40,25.40,8.80
28,187.00,314.55,416.45,20.65,8.72
29,193.00,318.15,423.85,15.45,8.66
30,199.00,322.20,427.80,26.30,8.74
31,206.00,329.50,435.10,29.00,8.73
32,225.00,336.70,442.15,0.00,9.21
33,228.00,354.20,455.80,20.90,8.78
34,233.00,359.50,461.15,18.85,8.77
35,239.00,363.30,464.55,13.30,8.87
36,246.00,366.70,467.90,27.20,9.01
37,266.00,373.45,474.70,0.10,9.58
38,269.00,378.30,483.80,0.00,9.31
39,273.00,398.00,499.70,27.90,8.82
40,281.00,401.15,505.80,20.55,8.90
41,284.00,407.70,513.25,25.30,8.72
42,287.00,414.80,520.30,21.20,8.57
43,294.00,419.50,524.75,27.90,8.67
44,311.00,425.90,530.60,0.60,9.11
45,317.00,442.00,543.70,18.20,8.82
46,322.00,448.25,549.60,17.00,8.79
47,330.00,452.25,553.45,13.30,8.95
48,337.00,459.55,560.85,29.90,8.93
49,355.00,462.70,563.90,0.00,9.57
50,358.00,469.75,575.25,0.00,9.21
51,361.00,474.30,579.00,0.00,9.17
52,365.00,493.00,594.20,24.50,8.73
53,373.00,496.60,597.85,16.70,8.89
54,378.00,503.15,604.40,27.70,8.83
55,398.00,509.75,615.30,0.40,9.20
56,401.00,514.45,619.80,0.30,9.14
57,406.00,520.75,625.75,0.90,9.10
58,413.00,539.20,640.45,25.00,8.79
59,418.00,545.85,647.10,20.40,8.73
60,424.00,550.90,652.15,29.70,8.77
61,443.00,555.30,660.80,0.00,9.18
62,448.00,561.40,666.60,0.80,9.15
63,454.00,582.00,683.25,28.40,8.72
64,461.00,587.40,688.60,23.25,8.79
65,467.00,591.25,692.45,28.60,8.87
66,486.00,598.50,704.00,0.60,9.17
67,490.00,616.95,719.35,24.60,8.72
68,493.00,622.35,724.05,21.50,8.66
69,498.00,625.60,730.95,15.25,8.59
70,504.00,632.65,734.10,28.10,8.69
71,508.00,637.30,738.55,27.70,8.67
72,513.00,661.60,763.55,59.80,7.98
73,535.00,667.30,768.60,28.30,8.56
74,538.00,670.90,772.10,23.25,8.54
75,545.00,675.25,776.50,25.90,8.64
76,550.00,680.80,782.00,25.70,8.62
77,556.00,684.10,785.30,24.00,8.72
78,560.00,688.30,793.80,26.40,8.55
79,580.00,694.15,799.45,0.60,9.11
80,586.00,699.30,803.65,0.00,9.19
81,593.00,713.75,815.00,19.80,9.01
82,596.00,716.85,818.05,21.40,9.01
83,599.00,723.40,824.60,31.00,8.87
84,619.00,729.25,834.90,0.00,9.26
85,622.00,733.35,838.05,1.30,9.26
86,629.00,749.20,851.40,17.10,8.99
87,635.00,759.20,860.40,26.70,8.87
88,639.00,764.00,865.25,27.10,8.84
89,644.00,767.20,868.45,24.40,8.91
90,661.00,774.75,880.25,1.40,9.12
91,670.00,781.00,886.35,0.00,9.24
92,673.00,786.60,891.45,0.00,9.16
93,677.00,803.60,904.80,25.40,8.78
94,684.00,806.60,907.80,19.70,8.94
95,691.00,810.90,912.10,26.00,9.05
96,707.00,817.25,922.85,0.40,9.27
97,713.00,837.30,939.45,24.70,8.83
98,717.00,841.75,943.20,23.00,8.84
99,724.00,845.20,946.40,15.75,8.99
100,730.00,849.40,950.60,0.10,9.07
101,733.00,855.70,956.90,30.00,8.93
102,751.00,858.70,959.90,0.00,9.57
103,754.00,865.90,971.40,0.00,9.20
104,757.00,870.35,975.35,0.00,9.16
105,761.00,880.95,983.35,9.00,8.99
106,768.00,893.10,994.35,28.40,8.84
107,775.00,896.20,997.40,26.20,8.99
108,793.00,902.50,1003.75,2.50,9.49
109,798.00,906.90,1012.40,0.40,9.33
110,804.00,925.70,1027.60,24.00,8.94
111,810.00,930.65,1031.95,20.50,9.01
112,813.00,934.85,1036.05,28.30,8.97
113,816.00,939.80,1041.00,26.50,8.89
114,819.00,943.20,1044.45,25.30,8.87
115,823.00,947.15,1048.35,26.90,8.88
116,844.00,952.85,1058.35,0.10,9.33
117,849.00,958.45,1063.75,0.50,9.31
118,855.00,964.90,1069.80,0.00,9.31
119,858.00,981.80,1083.00,27.60,8.89
120,865.00,985.85,1087.05,30.00,9.01
121,885.00,992.55,1093.80,0.30,9.58
122,888.00,997.35,1102.85,0.10,9.31
123,892.00,1014.05,1115.75,22.00,8.94
124,900.00,1017.15,1121.80,14.55,9.02
125,903.00,1024.60,1128.50,17.10,8.87
126,906.00,1030.95,1132.35,29.80,8.84
127,926.00,1038.05,1142.75,0.10,9.23
128,929.00,1058.50,1160.00,25.40,8.66
129,933.00,1061.70,1167.25,23.00,8.54
130,941.00,1066.20,1171.00,20.70,8.70
131,944.00,1073.10,1174.65,30.00,8.67
132,947.00,1079.10,1180.40,27.60,8.57
133,954.00,1101.35,1203.45,54.30,8.02
134,974.00,1107.85,1209.40,30.90,8.50
135,981.00,1112.15,1213.35,24.75,8.61
136,984.00,1115.60,1216.80,17.70,8.59
137,991.00,1119.95,1221.15,18.00,8.69
138,994.00,1123.60,1224.80,27.80,8.67
139,1014.00,1144.95,1247.35,25.70,8.57
140,1017.00,1148.25,1253.40,20.25,8.46
141,1021.00,1154.30,1258.50,29.70,8.42
142,1028.00,1161.05,1262.60,19.20,8.53
