ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,37703.05
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,856
TiempoPromedio,219.59
VelocidadPromedio,9.12
TiempoDetenidoPromedio,13.78
Eficiencia,91.2
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
1,0.00,7.10,204.50,0.00,9.78
2,3.00,14.10,211.90,0.00,9.57
3,6.00,18.05,218.90,0.00,9.39
4,9.00,45.45,243.70,30.10,8.52
5,13.00,51.20,249.20,30.10,8.47
6,21.00,54.80,256.60,30.10,8.49
7,25.00,59.45,260.75,29.80,8.48
8,47.00,68.25,266.30,3.20,9.12
9,56.00,89.25,287.65,29.30,8.63
10,62.00,93.60,291.10,22.30,8.73
11,69.00,96.90,294.30,24.00,8.88
12,74.00,100.30,297.70,28.00,8.94
13,93.00,105.60,303.00,0.70,9.52
14,99.00,111.85,309.25,1.60,9.51
15,104.00,116.85,318.60,0.00,9.32
16,109.00,136.10,333.55,25.70,8.91
17,115.00,140.45,337.85,24.30,8.97
18,118.00,147.40,344.85,27.90,8.82
19,138.00,152.70,350.10,1.00,9.43
20,142.00,156.10,353.55,0.00,9.45
21,149.00,160.80,362.55,0.00,9.37
22,155.00,165.85,367.40,1.50,9.42
23,161.00,183.05,380.45,29.90,9.11
24,179.00,190.10,387.90,0.00,9.57
25,182.00,194.40,394.85,0.00,9.40
26,185.00,221.20,419.55,29.90,8.53
27,189.00,225.10,425.65,28.80,8.45
28,197.00,232.10,429.65,24.50,8.60
29,202.00,238.10,435.60,27.70,8.56
30,222.00,241.50,438.95,3.30,9.22
31,231.00,245.70,447.45,0.10,9.24
32,238.00,265.30,463.60,22.20,8.87
33,244.00,269.65,467.10,30.00,8.96
34,247.00,275.95,473.40,28.90,8.83
35,268.00,281.05,478.45,0.00,9.50
36,273.00,284.20,481.65,0.60,9.59
37,280.00,292.65,492.75,0.00,9.40
38,283.00,312.00,509.45,29.30,8.83
39,286.00,318.15,515.55,26.10,8.71
40,293.00,321.30,518.70,29.90,8.86
41,313.00,325.30,522.75,0.40,9.54
42,319.00,332.60,530.05,1.70,9.48
43,324.00,353.25,551.60,25.80,8.79
44,327.00,360.00,558.25,28.60,8.65
45,334.00,365.55,563.00,29.40,8.73
46,354.00,369.40,570.25,0.00,9.25
47,360.00,376.90,574.55,0.80,9.32
48,366.00,397.90,595.85,29.50,8.70
49,372.00,402.95,600.40,27.90,8.76
50,375.00,406.15,603.55,25.10,8.75
51,382.00,409.80,607.25,27.90,8.88
52,403.00,416.20,613.60,0.00,9.50
53,408.00,420.55,617.95,0.10,9.53
54,413.00,425.85,627.60,0.90,9.32
55,419.00,443.65,641.05,24.00,9.01
56,425.00,447.05,644.45,29.90,9.11
57,443.00,454.10,651.90,0.00,9.57
58,446.00,458.40,658.85,0.00,9.40
59,449.00,485.20,683.55,29.90,8.53
60,453.00,489.10,689.65,28.80,8.45
61,461.00,496.10,693.65,24.50,8.60
62,466.00,502.10,699.60,27.70,8.56
63,486.00,505.50,702.95,3.30,9.22
64,495.00,509.70,711.45,0.10,9.24
65,502.00,529.35,727.65,22.30,8.86
66,508.00,533.70,731.15,30.10,8.96
67,511.00,540.00,737.45,29.00,8.83
68,532.00,545.05,742.45,0.00,9.50
69,537.00,548.15,745.60,0.50,9.59
70,544.00,573.90,771.90,30.00,8.78
71,547.00,577.65,775.10,28.90,8.77
72,550.00,583.90,781.45,24.20,8.64
73,555.00,589.80,787.25,28.00,8.61
74,577.00,593.25,790.65,1.50,9.36
75,583.00,598.65,800.40,2.40,9.20
76,590.00,617.25,815.65,25.40,8.86
77,597.00,621.45,823.05,26.60,8.85
78,600.00,628.10,826.75,26.40,8.82
79,620.00,634.75,832.30,0.10,9.42
80,623.00,640.80,838.25,0.50,9.29
81,629.00,644.75,846.35,0.20,9.20
82,635.00,662.30,860.05,22.70,8.89
83,641.00,666.90,864.35,20.80,8.95
84,647.00,671.20,868.60,26.00,9.03
85,663.00,676.15,873.55,0.00,9.50
86,667.00,679.45,876.85,2.40,9.53
87,675.00,686.80,888.00,0.00,9.39
88,678.00,706.10,904.00,21.30,8.85
89,681.00,709.85,907.25,30.80,8.84
90,688.00,716.45,913.85,30.20,8.86
91,708.00,721.05,918.45,0.30,9.50
92,713.00,724.10,921.50,0.80,9.59
93,720.00,750.40,948.15,30.00,8.77
94,723.00,753.60,955.20,29.90,8.61
95,726.00,760.30,962.20,25.50,8.47
96,731.00,765.90,967.30,29.00,8.46
97,754.00,772.95,970.80,0.20,9.23
98,760.00,777.10,978.00,1.90,9.17
99,768.00,796.60,994.00,29.20,8.85
100,771.00,801.05,998.50,30.50,8.79
101,793.00,804.10,1001.50,0.80,9.59
102,800.00,811.40,1008.90,0.00,9.57
103,803.00,818.30,1018.80,0.00,9.27
104,806.00,839.00,1036.55,27.10,8.67
105,811.00,843.40,1040.80,26.80,8.70
106,817.00,847.55,1045.00,26.70,8.77
107,838.00,850.65,1048.10,0.00,9.52
108,846.00,857.20,1054.60,0.00,9.59
109,849.00,862.25,1063.95,0.00,9.30
110,853.00,881.85,1079.85,27.60,8.82
111,861.00,888.15,1085.85,24.80,8.89
112,864.00,892.15,1089.55,23.70,8.87
113,868.00,897.45,1094.85,26.00,8.82
114,887.00,904.20,1101.75,0.00,9.31
115,893.00,908.30,1109.55,0.60,9.24
116,900.00,927.35,1124.85,25.30,8.89
117,903.00,933.40,1130.80,26.90,8.78
118,909.00,937.20,1134.60,30.00,8.87
119,929.00,941.10,1138.50,0.30,9.55
120,935.00,945.55,1143.00,2.00,9.62
121,941.00,952.70,1154.15,0.20,9.38
122,944.00,969.25,1167.65,18.20,8.94
123,948.00,974.45,1171.85,30.40,8.93
124,970.00,981.30,1178.70,0.00,9.58
125,973.00,986.95,1184.35,0.00,9.46
126,976.00,990.10,1187.50,1.30,9.46
127,983.00,994.60,1196.30,0.20,9.38
128,990.00,1013.30,1211.65,20.10,9.02
129,993.00,1018.00,1215.40,29.30,8.99
130,997.00,1025.05,1222.45,30.90,8.87
131,1017.00,1029.40,1229.70,0.00,9.40
