ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,789.51
VehiculosCreados,100
VehiculosCompletados,100
CiclosSemaforo,17
TiempoPromedio,84.83
VelocidadPromedio,6.07
TiempoDetenidoPromedio,26.58
Eficiencia,60.7
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
1,0.00,27.62,57.35,0.00,8.72
2,3.10,46.80,72.46,24.02,7.21
3,6.20,53.28,78.86,22.66,6.88
4,9.30,59.73,85.27,21.30,6.58
5,12.40,66.11,91.61,19.92,6.31
6,15.50,73.98,101.93,18.56,5.79
7,18.60,91.79,117.29,42.68,5.07
8,21.70,95.39,124.56,47.20,4.86
9,24.80,104.29,130.30,51.32,4.74
10,27.90,108.04,137.66,45.34,4.56
11,31.00,114.76,143.31,55.86,4.45
12,51.10,134.42,160.21,50.78,4.58
13,57.20,139.23,164.73,48.68,4.65
14,60.30,143.03,168.53,45.81,4.62
15,63.40,146.69,172.19,47.18,4.60
16,69.50,152.03,177.53,41.06,4.63
17,75.60,159.31,189.05,51.08,4.41
18,92.70,165.67,195.22,23.32,4.88
19,98.80,170.71,199.43,25.80,4.97
20,103.90,185.27,210.77,41.78,4.68
21,110.00,189.54,215.04,48.77,4.76
22,115.10,196.45,221.95,49.32,4.68
23,135.20,202.63,232.37,28.34,5.15
24,138.30,221.31,247.68,43.46,4.57
25,141.40,224.54,253.62,41.19,4.46
26,144.50,232.46,257.96,47.14,4.41
27,151.60,237.95,263.45,47.24,4.47
28,159.70,242.45,267.95,57.72,4.62
29,180.80,246.11,275.86,24.26,5.26
30,187.90,266.81,292.47,47.04,4.78
31,195.00,271.50,297.02,48.16,4.90
32,200.10,275.02,300.52,48.83,4.98
33,221.20,279.39,304.89,19.96,5.97
34,226.30,286.18,311.68,20.33,5.86
35,233.40,291.67,321.35,19.92,5.69
36,239.50,309.56,335.78,44.72,5.19
37,244.60,314.46,340.04,42.52,5.24
38,249.70,321.19,346.72,57.96,5.15
39,268.80,325.42,350.92,25.25,6.09
40,271.90,329.23,354.73,19.91,6.04
41,278.00,332.88,358.38,17.73,6.22
42,284.10,352.90,379.57,55.32,5.24
43,291.20,358.70,384.20,55.84,5.38
44,312.30,363.00,388.50,20.71,6.56
45,315.40,367.60,393.10,17.45,6.44
46,320.50,371.03,396.53,14.21,6.58
47,326.60,377.90,407.69,1.28,6.17
48,332.70,397.30,423.68,38.14,5.50
49,338.80,401.36,426.86,44.06,5.68
50,354.90,405.64,431.14,22.72,6.56
51,358.00,413.00,438.50,18.14,6.21
52,363.10,416.93,442.43,17.61,6.30
53,370.20,422.40,452.13,14.55,6.10
54,376.30,441.23,467.66,47.08,5.47
55,379.40,444.51,473.55,51.71,5.31
56,399.50,451.99,477.49,28.74,6.41
57,404.60,455.63,481.13,25.76,6.53
58,409.70,459.30,484.80,24.47,6.66
59,415.80,462.91,488.41,23.60,6.89
60,418.90,470.51,498.71,26.40,6.26
61,425.00,485.77,511.87,44.50,5.76
62,445.10,490.39,516.07,11.30,7.05
63,450.20,495.54,521.08,8.28,7.05
64,455.30,501.51,527.13,6.03,6.96
65,461.40,504.99,530.49,4.44,7.24
66,466.50,511.32,541.05,28.72,6.71
67,486.60,529.32,555.69,17.74,7.24
68,489.70,534.34,560.18,8.77,7.09
69,492.80,537.91,566.85,0.72,6.75
70,499.90,545.98,571.73,0.00,6.96
71,504.00,551.63,577.23,2.04,6.83
72,510.10,555.20,584.94,28.38,6.68
73,530.20,573.32,599.69,18.72,7.20
74,533.30,578.12,603.89,11.67,7.08
75,536.40,581.67,607.17,5.16,7.07
76,543.50,585.04,610.54,2.48,7.46
77,549.60,590.99,617.93,0.00,7.32
78,552.70,597.97,627.75,23.76,6.66
79,557.80,602.68,632.09,28.40,6.73
80,576.90,609.65,638.58,0.74,8.11
81,580.00,617.88,643.91,2.52,7.82
82,585.10,622.89,648.57,1.20,7.88
83,591.20,628.09,653.62,0.00,8.01
84,596.30,640.76,666.26,20.30,7.15
85,602.40,661.29,687.68,50.08,5.86
86,619.50,667.02,692.86,16.36,6.82
87,622.60,672.95,698.76,14.88,6.57
88,627.70,676.43,701.93,11.31,6.74
89,633.80,680.80,706.30,6.73,6.90
90,636.90,685.25,715.11,27.88,6.39
91,644.00,705.31,731.69,46.16,5.70
92,648.10,710.12,735.89,41.17,5.70
93,666.20,715.54,741.17,9.94,6.67
94,671.30,720.78,746.29,10.89,6.67
95,677.40,725.64,751.14,8.57,6.78
96,684.50,730.24,759.98,0.42,6.62
97,691.60,736.26,765.72,24.80,6.75
98,706.70,753.29,778.79,20.84,6.94
99,709.80,758.51,784.01,15.07,6.74
100,712.90,764.01,789.51,5.42,6.53
